OfferingName,ProductSkuName,Australia Central,Australia Central 2 *,Australia East,Australia Southeast,Austria East,Belgium Central,Brazil South,Brazil Southeast,Canada Central,Canada East,Central India,Central US,Chile Central,China East,China East 2,China East 3 *,China North,China North 2,China North 3,Denmark East,East Asia,East US,East US 2,France Central,France South *,Germany North *,Germany West Central,India South Central,Indonesia Central,Israel Central,Italy North,Japan East,Japan West,Korea Central,Korea South *,Malaysia West,Mexico Central,New Zealand North,Non Regional,North Central US,North Europe,Norway East,Norway West *,Poland Central,Qatar Central,South Africa North,South Africa West *,South Central US,South India,Southeast Asia,Spain Central,Sweden Central,Sweden South *,Switzerland North,Switzerland West *,Taiwan North **,UAE Central *,UAE North,UK South,UK West,West Central US,West Europe,West India *,West US,West US 2,West US 3
Network security perimeter,General,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,,,,,,,,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Network Watcher,General,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA
Network Watcher,Traffic Analytics,GA,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,,,,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,,GA,GA,GA
Notification Hubs,General,GA,Preview,GA,GA,,GA,GA,,GA,GA,GA,GA,,GA,,GA,GA,,GA,,GA,GA,GA,GA,,,GA,,,GA,GA,GA,GA,GA,,,,,,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,,GA,,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,GA
Nutanix on Azure,General,,,GA,,,,,,GA,GA,GA,,,,,,,,,,,GA,GA,,,,GA,,,,,GA,,,,,,,,GA,GA,,,,GA,,,GA,GA,GA,,,,,,,,GA,GA,,,GA,,,GA,GA
Oracle AI Database@Azure,General,,,GA,GA,,,GA,GA,GA,GA,GA,GA,,,,,,,,,,GA,GA,GA,GA,GA,GA,,,,GA,GA,GA,,,,,,,GA,GA,,,,,,,GA,GA,GA,GA,GA,,GA,,,GA,GA,GA,GA,,GA,,GA,GA,GA
Planned Maintenance,General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power BI,General,,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,,GA,GA,GA,GA,GA,,GA,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA
Quota Management,General,,,GA,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,GA,,,,,,,,,GA,,,,,,,,,GA,,GA,,,,,,,GA,,,GA,,,GA,
Quota+ Usage blade,General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redis Cache,General,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Redis Cache,Balanced (Compute + Memory),GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,,,,,,,,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA
