OfferingName,ProductSkuName,Australia Central,Australia Central 2 *,Australia East,Australia Southeast,Austria East,Belgium Central,Brazil South,Brazil Southeast,Canada Central,Canada East,Central India,Central US,Chile Central,China East,China East 2,China East 3 *,China North,China North 2,China North 3,Denmark East,East Asia,East US,East US 2,East US 3,France Central,France South *,Germany North *,Germany West Central,Indonesia Central,Israel Central,Italy North,Japan East,Japan West,Korea Central,Korea South *,Malaysia West,Mexico Central,New Zealand North,Non Regional,North Central US,North Europe,Norway East,Norway West *,Poland Central,Qatar Central,South Africa North,South Africa West *,South Central US,South India,Southeast Asia,Spain Central,Sweden Central,Sweden South *,Switzerland North,Switzerland West *,Taiwan North **,UAE Central *,UAE North,UK South,UK West,USGov Arizona **,USGov Texas,USGov Virginia,West Central US,West Europe,West India *,West US,West US 2,West US 3
Virtual Machines,HCv1-Series,,,Closing Down,,,,Closing Down,,,,Closing Down,,,,,,,,,,,Closing Down,,,,,,,,,,Closing Down,,Closing Down,,,,,,,Closing Down,,,,,,,Closing Down,,Closing Down,,,,,,,,,,,,,Closing Down,,Closing Down,,,Closing Down,
Virtual Machines,HX-series,,,GA,,,,,,,,,,,,,,,,,,,GA,GA,,,,,,,,,,,GA,,,,,,,,,,,,,,GA,,GA,,GA,,,,,,,,,,,GA,,,,,,
Virtual Machines,Internal GPGen8 series,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual Machines,Laosv4-series,,,,,,,,,,,,GA,,,,,,,,,,GA,GA,,,,,,,,,,,,,,,,,,GA,,,,,,,GA,,,,,,,,,,,GA,,,,,,GA,,GA,GA,GA
Virtual Machines,Lasv3-series,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,,GA,,,GA,,,GA,GA,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Lasv4 Series,,,,,,,,,,,,GA,,,,,,,,,,GA,GA,,,,,,,,,,,,,,,,,,GA,,,,,,,GA,,,,,,,,,,,GA,,,,,,GA,,GA,GA,GA
Virtual Machines,LS-Series,,,Closing Down,,,,,,Closing Down,Closing Down,,,,,,,,,,,,,Closing Down,,,,,,,,,Closing Down,,,,,,,,,,,,,,,,,,Closing Down,,,,,,,,,Closing Down,,,,Closing Down,,Closing Down,,Closing Down,Closing Down,
Virtual Machines,LSv2-Series,,,Closing Down,,,,,,,,Closing Down,Closing Down,,,,,,,,,,Closing Down,Closing Down,,Closing Down,,,Closing Down,,,,Closing Down,,,,,,,,,Closing Down,,,,,,,Closing Down,,Closing Down,,,,,,,,,Closing Down,,Closing Down,,Closing Down,,Closing Down,,Closing Down,Closing Down,
Virtual Machines,Lsv3-series,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,,,GA,,,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA
Virtual Machines,Lsv4 Series,,,GA,,,,,,GA,,GA,GA,,,,,,,,,,GA,GA,,,,,GA,,,,,GA,GA,,,,,,,,,,,,GA,,GA,,,,GA,,,,,,,,,,,,,GA,,,,GA
Virtual Machines,M-Series,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,,GA,GA,,GA,GA,,GA,GA,GA,,GA,,GA,GA,,,GA,GA,GA,GA,GA,,GA,,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,,GA,,GA,GA,,GA,GA,GA,GA,GA,,GA,,GA,,GA,GA,GA
Virtual Machines,Mbdsv3 Series,,,,,,,,,,,,GA,,,,,,,,,,GA,GA,,,,,,,,,,,,,,,,,GA,GA,,,,,,,GA,,GA,,GA,,,,,,,,,,,,,GA,,,GA,GA
Virtual Machines,Mbsv3 Series,,,,,,,,,,,,GA,,,,,,,,,,GA,GA,,,,,,,,,,,,,,,,,GA,GA,,,,,,,GA,,GA,,GA,,,,,,,,,,,,,GA,,,GA,GA
Virtual Machines,Mdsv2 Medium Memory Series,GA,,GA,,,,GA,GA,GA,GA,GA,GA,,,,GA,,GA,GA,,GA,GA,GA,,GA,,,GA,,,GA,GA,GA,GA,,,GA,,,GA,GA,GA,,GA,GA,GA,,GA,,GA,,GA,,GA,,,GA,GA,GA,GA,,,GA,,GA,,GA,GA,GA
Virtual Machines,Mdsv3 High Memory Series,,,,,,,,,,,,GA,,,,,,,,,,GA,GA,,,,,GA,,,GA,,,,,,,,,,GA,,,,,,,GA,,GA,,,,,,,,,,,GA,,GA,,GA,,,GA,GA
Virtual Machines,Mdsv3 Medium Memory Series,,,GA,,,,,,,,GA,GA,,,,,,,GA,,GA,GA,GA,,,,,,,,,,,GA,,,,GA,,,GA,,,,,,,GA,,GA,,GA,,,,GA,,,,,,,,,GA,,,GA,GA
Virtual Machines,Msv2 Medium Memory Series,GA,,GA,,,,GA,GA,GA,GA,GA,GA,,,,GA,,GA,GA,,GA,GA,GA,,GA,,,GA,,,GA,GA,GA,GA,,,GA,,,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,,GA,,GA,,,GA,GA,GA,GA,,,GA,,GA,,GA,GA,GA
Virtual Machines,Msv3 High Memory Series,,,,,,,,,,,,GA,,,,,,,,,,GA,GA,,,,,GA,,,GA,,,,,,,,,,GA,,,,,,,GA,,GA,,GA,,,,,,,,,GA,,GA,,GA,,,GA,GA
